Sample-Cam1-1_04.18.05(204).jpg;191882.148;356097.185;3460498.347;15.048;296.56983347;-92.99365406;195.47347774;-1.09555872852E-001;-7.80284414156E-003;-9.93950011996E-001;-9.93825769669E-001;-1.67914814592E-002;1.09673997340E-001;-1.75456623054E-002;9.99828566192E-001;-5.91506217686E-003
Sample-Cam1-2_04.18.06(190).jpg;191883.134;356100.179;3460502.321;15.050;289.89962465;-93.38790056;189.08254902;-1.02155202537E-001;-1.76924706544E-002;-9.94611125554E-001;-9.94674499309E-001;-1.19261716931E-002;1.02373858247E-001;-1.36731495340E-002;9.99772345542E-001;-1.63799289049E-002
Sample-Cam1-3_04.18.07(165).jpg;191884.109;356103.146;3460506.325;15.045;297.70194573;-94.76317073;197.22581922;-8.20891793153E-002;-3.57944398523E-003;-9.96618560042E-001;-9.96596003430E-001;-7.33169851620E-003;8.21136538248E-002;-7.60082804217E-003;9.99966716335E-001;-2.96540645600E-003
Sample-Cam1-4_04.18.08(115).jpg;191885.059;356105.998;3460510.378;15.014;299.69632636;-96.21484142;199.16156638;-5.94169530824E-002;-7.82571542519E-004;-9.98232945393E-001;-9.98197839031E-001;-8.37662010673E-003;5.94214303855E-002;-8.40831968202E-003;9.99964609282E-001;-2.83447978759E-004
Sample-Cam1-5_04.18.09(047).jpg;191885.991;356108.788;3460514.503;14.969;299.05953388;-97.37340502;197.71731724;-4.12202409889E-002;-1.47863894118E-003;-9.99148990571E-001;-9.98927381835E-001;-2.10514236032E-002;4.12422524100E-002;-2.10944910436E-002;9.99777300798E-001;-6.09308172107E-004
Sample-Cam1-6_04.18.09(961).jpg;191886.905;356111.541;3460518.707;14.928;-90.02279961;-98.05233071;208.66129370;-3.03064798482E-002;4.14886555311E-003;-9.99532042605E-001;-9.99328427743E-001;-2.07314342322E-002;3.02142539073E-002;-2.05963779270E-002;9.99776472292E-001;4.77437608389E-003
Sample-Cam1-7_04.18.10(846).jpg;191887.790;356114.232;3460522.892;14.903;-73.85292387;-98.36019001;224.77007113;-2.38301690660E-002;9.77009475473E-003;-9.99668279126E-001;-9.99484680925E-001;-2.17436286128E-002;2.36132846328E-002;-2.15057117690E-002;9.99715839558E-001;1.02832143845E-002
Sample-Cam1-8_04.18.11(718).jpg;191888.661;356116.912;3460527.097;14.874;-80.56442156;-98.42823368;217.92262462;-2.37148734159E-002;6.85856250785E-003;-9.99695236009E-001;-9.99438387410E-001;-2.38439414578E-002;2.35451954092E-002;-2.36751884885E-002;9.99692165907E-001;7.42016670620E-003
Sample-Cam1-9_04.18.12(581).jpg;191889.524;356119.610;3460531.315;14.851;-75.03439449;-98.17575232;223.73458028;-2.66830414653E-002;1.04360888141E-002;-9.99589467406E-001;-9.99459741847E-001;-1.94738766342E-002;2.64762639978E-002;-1.91895733305E-002;9.99755898297E-001;1.09500728898E-002
Sample-Cam1-10_04.18.13(447).jpg;191890.390;356122.323;3460535.509;14.836;-77.16777521;-97.81893334;221.41247853;-3.23340844938E-002;1.13050119102E-002;-9.99413179664E-001;-9.99232642754E-001;-2.24808249641E-002;3.20739483509E-002;-2.21050363908E-002;9.99683354475E-001;1.20232338213E-002
